profileID;respID;qID;altID;obsID;price;origin_Brazil Central Plateau;origin_Colombia Cauca;processing_Natural;processing_Washed;Specialty_Coffee_SCA Score: 80;Specialty_Coffee_SCA Score: 90;no_choice
12;1;1;1;1;30;0;1;1;0;0;1;0
9;1;1;2;1;11;1;0;1;0;0;1;0
16;1;1;3;1;30;0;1;0;1;0;1;0
0;1;1;4;1;0;0;0;0;0;0;0;1
2;1;2;1;2;30;1;0;1;0;1;0;0
1;1;2;2;2;11;1;0;1;0;1;0;0
15;1;2;3;2;11;0;1;0;1;0;1;0
0;1;2;4;2;0;0;0;0;0;0;0;1
13;1;3;1;3;11;1;0;0;1;0;1;0
10;1;3;2;3;30;1;0;1;0;0;1;0
7;1;3;3;3;11;0;1;0;1;1;0;0
0;1;3;4;3;0;0;0;0;0;0;0;1
8;1;4;1;4;30;0;1;0;1;1;0;0
4;1;4;2;4;30;0;1;1;0;1;0;0
10;1;4;3;4;30;1;0;1;0;0;1;0
0;1;4;4;4;0;0;0;0;0;0;0;1
11;1;5;1;5;11;0;1;1;0;0;1;0
12;1;5;2;5;30;0;1;1;0;0;1;0
5;1;5;3;5;11;1;0;0;1;1;0;0
0;1;5;4;5;0;0;0;0;0;0;0;1
7;1;6;1;6;11;0;1;0;1;1;0;0
16;1;6;2;6;30;0;1;0;1;0;1;0
8;1;6;3;6;30;0;1;0;1;1;0;0
0;1;6;4;6;0;0;0;0;0;0;0;1
4;1;7;1;7;30;0;1;1;0;1;0;0
3;1;7;2;7;11;0;1;1;0;1;0;0
14;1;7;3;7;30;1;0;0;1;0;1;0
0;1;7;4;7;0;0;0;0;0;0;0;1
16;1;8;1;8;30;0;1;0;1;0;1;0
2;1;8;2;8;30;1;0;1;0;1;0;0
9;1;8;3;8;11;1;0;1;0;0;1;0
0;1;8;4;8;0;0;0;0;0;0;0;1
6;1;9;1;9;30;1;0;0;1;1;0;0
7;1;9;2;9;11;0;1;0;1;1;0;0
2;1;9;3;9;30;1;0;1;0;1;0;0
0;1;9;4;9;0;0;0;0;0;0;0;1
9;1;10;1;10;11;1;0;1;0;0;1;0
6;1;10;2;10;30;1;0;0;1;1;0;0
12;1;10;3;10;30;0;1;1;0;0;1;0
0;1;10;4;10;0;0;0;0;0;0;0;1
10;1;11;1;11;30;1;0;1;0;0;1;0
14;1;11;2;11;30;1;0;0;1;0;1;0
6;1;11;3;11;30;1;0;0;1;1;0;0
0;1;11;4;11;0;0;0;0;0;0;0;1
15;1;12;1;12;11;0;1;0;1;0;1;0
5;1;12;2;12;11;1;0;0;1;1;0;0
11;1;12;3;12;11;0;1;1;0;0;1;0
0;1;12;4;12;0;0;0;0;0;0;0;1
14;1;13;1;13;30;1;0;0;1;0;1;0
13;1;13;2;13;11;1;0;0;1;0;1;0
3;1;13;3;13;11;0;1;1;0;1;0;0
0;1;13;4;13;0;0;0;0;0;0;0;1
3;1;14;1;14;11;0;1;1;0;1;0;0
8;1;14;2;14;30;0;1;0;1;1;0;0
1;1;14;3;14;11;1;0;1;0;1;0;0
0;1;14;4;14;0;0;0;0;0;0;0;1
1;1;15;1;15;11;1;0;1;0;1;0;0
15;1;15;2;15;11;0;1;0;1;0;1;0
4;1;15;3;15;30;0;1;1;0;1;0;0
0;1;15;4;15;0;0;0;0;0;0;0;1
5;1;16;1;16;11;1;0;0;1;1;0;0
11;1;16;2;16;11;0;1;1;0;0;1;0
13;1;16;3;16;11;1;0;0;1;0;1;0
0;1;16;4;16;0;0;0;0;0;0;0;1
12;2;1;1;17;30;0;1;1;0;0;1;0
9;2;1;2;17;11;1;0;1;0;0;1;0
16;2;1;3;17;30;0;1;0;1;0;1;0
0;2;1;4;17;0;0;0;0;0;0;0;1
2;2;2;1;18;30;1;0;1;0;1;0;0
1;2;2;2;18;11;1;0;1;0;1;0;0
15;2;2;3;18;11;0;1;0;1;0;1;0
0;2;2;4;18;0;0;0;0;0;0;0;1
13;2;3;1;19;11;1;0;0;1;0;1;0
10;2;3;2;19;30;1;0;1;0;0;1;0
7;2;3;3;19;11;0;1;0;1;1;0;0
0;2;3;4;19;0;0;0;0;0;0;0;1
8;2;4;1;20;30;0;1;0;1;1;0;0
4;2;4;2;20;30;0;1;1;0;1;0;0
10;2;4;3;20;30;1;0;1;0;0;1;0
0;2;4;4;20;0;0;0;0;0;0;0;1
