"profileID","respID","qID","altID","obsID","price","origin","processing","Specialty_Coffee"
3,1,1,1,1,11,"Colombia Cauca","Natural","SCA Score: 80"
8,1,1,2,1,30,"Colombia Cauca","Washed","SCA Score: 80"
9,1,1,3,1,11,"Brazil Central Plateau","Natural","SCA Score: 90"
14,1,2,1,2,30,"Brazil Central Plateau","Washed","SCA Score: 90"
3,1,2,2,2,11,"Colombia Cauca","Natural","SCA Score: 80"
1,1,2,3,2,11,"Brazil Central Plateau","Natural","SCA Score: 80"
2,1,3,1,3,30,"Brazil Central Plateau","Natural","SCA Score: 80"
16,1,3,2,3,30,"Colombia Cauca","Washed","SCA Score: 90"
8,1,3,3,3,30,"Colombia Cauca","Washed","SCA Score: 80"
4,1,4,1,4,30,"Colombia Cauca","Natural","SCA Score: 80"
10,1,4,2,4,30,"Brazil Central Plateau","Natural","SCA Score: 90"
2,1,4,3,4,30,"Brazil Central Plateau","Natural","SCA Score: 80"
8,1,5,1,5,30,"Colombia Cauca","Washed","SCA Score: 80"
6,1,5,2,5,30,"Brazil Central Plateau","Washed","SCA Score: 80"
7,1,5,3,5,11,"Colombia Cauca","Washed","SCA Score: 80"
6,1,6,1,6,30,"Brazil Central Plateau","Washed","SCA Score: 80"
2,1,6,2,6,30,"Brazil Central Plateau","Natural","SCA Score: 80"
5,1,6,3,6,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,1,7,1,7,11,"Colombia Cauca","Natural","SCA Score: 90"
12,1,7,2,7,30,"Colombia Cauca","Natural","SCA Score: 90"
6,1,7,3,7,30,"Brazil Central Plateau","Washed","SCA Score: 80"
16,1,8,1,8,30,"Colombia Cauca","Washed","SCA Score: 90"
1,1,8,2,8,11,"Brazil Central Plateau","Natural","SCA Score: 80"
15,1,8,3,8,11,"Colombia Cauca","Washed","SCA Score: 90"
9,1,9,1,9,11,"Brazil Central Plateau","Natural","SCA Score: 90"
5,1,9,2,9,11,"Brazil Central Plateau","Washed","SCA Score: 80"
14,1,9,3,9,30,"Brazil Central Plateau","Washed","SCA Score: 90"
15,1,10,1,10,11,"Colombia Cauca","Washed","SCA Score: 90"
9,1,10,2,10,11,"Brazil Central Plateau","Natural","SCA Score: 90"
13,1,10,3,10,11,"Brazil Central Plateau","Washed","SCA Score: 90"
1,1,11,1,11,11,"Brazil Central Plateau","Natural","SCA Score: 80"
14,1,11,2,11,30,"Brazil Central Plateau","Washed","SCA Score: 90"
12,1,11,3,11,30,"Colombia Cauca","Natural","SCA Score: 90"
10,1,12,1,12,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,1,12,2,12,11,"Brazil Central Plateau","Washed","SCA Score: 90"
4,1,12,3,12,30,"Colombia Cauca","Natural","SCA Score: 80"
7,1,13,1,13,11,"Colombia Cauca","Washed","SCA Score: 80"
15,1,13,2,13,11,"Colombia Cauca","Washed","SCA Score: 90"
16,1,13,3,13,30,"Colombia Cauca","Washed","SCA Score: 90"
12,1,14,1,14,30,"Colombia Cauca","Natural","SCA Score: 90"
4,1,14,2,14,30,"Colombia Cauca","Natural","SCA Score: 80"
3,1,14,3,14,11,"Colombia Cauca","Natural","SCA Score: 80"
5,1,15,1,15,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,1,15,2,15,11,"Colombia Cauca","Natural","SCA Score: 90"
10,1,15,3,15,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,1,16,1,16,11,"Brazil Central Plateau","Washed","SCA Score: 90"
7,1,16,2,16,11,"Colombia Cauca","Washed","SCA Score: 80"
11,1,16,3,16,11,"Colombia Cauca","Natural","SCA Score: 90"
3,2,1,1,17,11,"Colombia Cauca","Natural","SCA Score: 80"
8,2,1,2,17,30,"Colombia Cauca","Washed","SCA Score: 80"
9,2,1,3,17,11,"Brazil Central Plateau","Natural","SCA Score: 90"
14,2,2,1,18,30,"Brazil Central Plateau","Washed","SCA Score: 90"
3,2,2,2,18,11,"Colombia Cauca","Natural","SCA Score: 80"
1,2,2,3,18,11,"Brazil Central Plateau","Natural","SCA Score: 80"
2,2,3,1,19,30,"Brazil Central Plateau","Natural","SCA Score: 80"
16,2,3,2,19,30,"Colombia Cauca","Washed","SCA Score: 90"
8,2,3,3,19,30,"Colombia Cauca","Washed","SCA Score: 80"
4,2,4,1,20,30,"Colombia Cauca","Natural","SCA Score: 80"
10,2,4,2,20,30,"Brazil Central Plateau","Natural","SCA Score: 90"
2,2,4,3,20,30,"Brazil Central Plateau","Natural","SCA Score: 80"
8,2,5,1,21,30,"Colombia Cauca","Washed","SCA Score: 80"
6,2,5,2,21,30,"Brazil Central Plateau","Washed","SCA Score: 80"
7,2,5,3,21,11,"Colombia Cauca","Washed","SCA Score: 80"
6,2,6,1,22,30,"Brazil Central Plateau","Washed","SCA Score: 80"
2,2,6,2,22,30,"Brazil Central Plateau","Natural","SCA Score: 80"
5,2,6,3,22,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,2,7,1,23,11,"Colombia Cauca","Natural","SCA Score: 90"
12,2,7,2,23,30,"Colombia Cauca","Natural","SCA Score: 90"
6,2,7,3,23,30,"Brazil Central Plateau","Washed","SCA Score: 80"
16,2,8,1,24,30,"Colombia Cauca","Washed","SCA Score: 90"
1,2,8,2,24,11,"Brazil Central Plateau","Natural","SCA Score: 80"
15,2,8,3,24,11,"Colombia Cauca","Washed","SCA Score: 90"
9,2,9,1,25,11,"Brazil Central Plateau","Natural","SCA Score: 90"
5,2,9,2,25,11,"Brazil Central Plateau","Washed","SCA Score: 80"
14,2,9,3,25,30,"Brazil Central Plateau","Washed","SCA Score: 90"
15,2,10,1,26,11,"Colombia Cauca","Washed","SCA Score: 90"
9,2,10,2,26,11,"Brazil Central Plateau","Natural","SCA Score: 90"
13,2,10,3,26,11,"Brazil Central Plateau","Washed","SCA Score: 90"
1,2,11,1,27,11,"Brazil Central Plateau","Natural","SCA Score: 80"
14,2,11,2,27,30,"Brazil Central Plateau","Washed","SCA Score: 90"
12,2,11,3,27,30,"Colombia Cauca","Natural","SCA Score: 90"
10,2,12,1,28,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,2,12,2,28,11,"Brazil Central Plateau","Washed","SCA Score: 90"
4,2,12,3,28,30,"Colombia Cauca","Natural","SCA Score: 80"
7,2,13,1,29,11,"Colombia Cauca","Washed","SCA Score: 80"
15,2,13,2,29,11,"Colombia Cauca","Washed","SCA Score: 90"
16,2,13,3,29,30,"Colombia Cauca","Washed","SCA Score: 90"
12,2,14,1,30,30,"Colombia Cauca","Natural","SCA Score: 90"
4,2,14,2,30,30,"Colombia Cauca","Natural","SCA Score: 80"
3,2,14,3,30,11,"Colombia Cauca","Natural","SCA Score: 80"
5,2,15,1,31,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,2,15,2,31,11,"Colombia Cauca","Natural","SCA Score: 90"
10,2,15,3,31,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,2,16,1,32,11,"Brazil Central Plateau","Washed","SCA Score: 90"
7,2,16,2,32,11,"Colombia Cauca","Washed","SCA Score: 80"
11,2,16,3,32,11,"Colombia Cauca","Natural","SCA Score: 90"
3,3,1,1,33,11,"Colombia Cauca","Natural","SCA Score: 80"
8,3,1,2,33,30,"Colombia Cauca","Washed","SCA Score: 80"
9,3,1,3,33,11,"Brazil Central Plateau","Natural","SCA Score: 90"
14,3,2,1,34,30,"Brazil Central Plateau","Washed","SCA Score: 90"
3,3,2,2,34,11,"Colombia Cauca","Natural","SCA Score: 80"
1,3,2,3,34,11,"Brazil Central Plateau","Natural","SCA Score: 80"
2,3,3,1,35,30,"Brazil Central Plateau","Natural","SCA Score: 80"
16,3,3,2,35,30,"Colombia Cauca","Washed","SCA Score: 90"
8,3,3,3,35,30,"Colombia Cauca","Washed","SCA Score: 80"
4,3,4,1,36,30,"Colombia Cauca","Natural","SCA Score: 80"
10,3,4,2,36,30,"Brazil Central Plateau","Natural","SCA Score: 90"
2,3,4,3,36,30,"Brazil Central Plateau","Natural","SCA Score: 80"
8,3,5,1,37,30,"Colombia Cauca","Washed","SCA Score: 80"
6,3,5,2,37,30,"Brazil Central Plateau","Washed","SCA Score: 80"
7,3,5,3,37,11,"Colombia Cauca","Washed","SCA Score: 80"
6,3,6,1,38,30,"Brazil Central Plateau","Washed","SCA Score: 80"
2,3,6,2,38,30,"Brazil Central Plateau","Natural","SCA Score: 80"
5,3,6,3,38,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,3,7,1,39,11,"Colombia Cauca","Natural","SCA Score: 90"
12,3,7,2,39,30,"Colombia Cauca","Natural","SCA Score: 90"
6,3,7,3,39,30,"Brazil Central Plateau","Washed","SCA Score: 80"
16,3,8,1,40,30,"Colombia Cauca","Washed","SCA Score: 90"
1,3,8,2,40,11,"Brazil Central Plateau","Natural","SCA Score: 80"
15,3,8,3,40,11,"Colombia Cauca","Washed","SCA Score: 90"
9,3,9,1,41,11,"Brazil Central Plateau","Natural","SCA Score: 90"
5,3,9,2,41,11,"Brazil Central Plateau","Washed","SCA Score: 80"
14,3,9,3,41,30,"Brazil Central Plateau","Washed","SCA Score: 90"
15,3,10,1,42,11,"Colombia Cauca","Washed","SCA Score: 90"
9,3,10,2,42,11,"Brazil Central Plateau","Natural","SCA Score: 90"
13,3,10,3,42,11,"Brazil Central Plateau","Washed","SCA Score: 90"
1,3,11,1,43,11,"Brazil Central Plateau","Natural","SCA Score: 80"
14,3,11,2,43,30,"Brazil Central Plateau","Washed","SCA Score: 90"
12,3,11,3,43,30,"Colombia Cauca","Natural","SCA Score: 90"
10,3,12,1,44,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,3,12,2,44,11,"Brazil Central Plateau","Washed","SCA Score: 90"
4,3,12,3,44,30,"Colombia Cauca","Natural","SCA Score: 80"
7,3,13,1,45,11,"Colombia Cauca","Washed","SCA Score: 80"
15,3,13,2,45,11,"Colombia Cauca","Washed","SCA Score: 90"
16,3,13,3,45,30,"Colombia Cauca","Washed","SCA Score: 90"
12,3,14,1,46,30,"Colombia Cauca","Natural","SCA Score: 90"
4,3,14,2,46,30,"Colombia Cauca","Natural","SCA Score: 80"
3,3,14,3,46,11,"Colombia Cauca","Natural","SCA Score: 80"
5,3,15,1,47,11,"Brazil Central Plateau","Washed","SCA Score: 80"
11,3,15,2,47,11,"Colombia Cauca","Natural","SCA Score: 90"
10,3,15,3,47,30,"Brazil Central Plateau","Natural","SCA Score: 90"
13,3,16,1,48,11,"Brazil Central Plateau","Washed","SCA Score: 90"
7,3,16,2,48,11,"Colombia Cauca","Washed","SCA Score: 80"
11,3,16,3,48,11,"Colombia Cauca","Natural","SCA Score: 90"
3,4,1,1,49,11,"Colombia Cauca","Natural","SCA Score: 80"
8,4,1,2,49,30,"Colombia Cauca","Washed","SCA Score: 80"
9,4,1,3,49,11,"Brazil Central Plateau","Natural","SCA Score: 90"
14,4,2,1,50,30,"Brazil Central Plateau","Washed","SCA Score: 90"
3,4,2,2,50,11,"Colombia Cauca","Natural","SCA Score: 80"
1,4,2,3,50,11,"Brazil Central Plateau","Natural","SCA Score: 80"
2,4,3,1,51,30,"Brazil Central Plateau","Natural","SCA Score: 80"
16,4,3,2,51,30,"Colombia Cauca","Washed","SCA Score: 90"
8,4,3,3,51,30,"Colombia Cauca","Washed","SCA Score: 80"
4,4,4,1,52,30,"Colombia Cauca","Natural","SCA Score: 80"
10,4,4,2,52,30,"Brazil Central Plateau","Natural","SCA Score: 90"
2,4,4,3,52,30,"Brazil Central Plateau","Natural","SCA Score: 80"
8,4,5,1,53,30,"Colombia Cauca","Washed","SCA Score: 80"
